"GPOName","DriveLetter","SharePath","Label"
"MapNetworkDrive_DUL","R","\\DULFS01\DULAdmin","\\DULFS01\DULAdmin"
"MapNetworkDrive_DUL","T","\\DULFS01\DuluthData","\\DULFS01\DuluthData"
"MapNetworkDrive_DUL","U","\\DULFS01\DULUsers\%LogonUser%",""
"MapNetworkDrive_DUL","X","\\mplsfs01\MPLSKAEvents","\\mplsfs01\MPLSKAEvents"
"MapNetworkDrive_DUL","Y","\\DULFS01\DULYARD","\\DULFS01\DULYARD"
"MapNetworkDrive_DUL","V","\\mplsfs01\OwnerContracts","OwnerContracts"
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC",,,
"MapNetworkDrive_KARC","I","\\KARCFS01\KARCBudgets","\\KARCFS01\KARCBudgets"
"MapNetworkDrive_KARC","K","\\KARCFS01\KARC-Scanned Leases","\\KARCFS01\KARC-Scanned Leases"
"MapNetworkDrive_KARC","L","\\KARCFS01\KARCPropMgmt\LeaseSummaries","\\KARCFS01\KARCPropMgmt\LeaseSum"
"MapNetworkDrive_KARC","M","\\KARCFS01\KARCData","\\KARCFS01\KARCData"
"MapNetworkDrive_KARC","P","\\KARCFS01\KARCPhotos","\\KARCFS01\KARCPhotos"
"MapNetworkDrive_KARC","R","\\timberline1\Accounting_Data","\\timberline1\Accounting_Data"
"MapNetworkDrive_KARC","S","\\KARCFS01\KARCPropMgmt\TenantSales","\\KARCFS01\KARCPropMgmt\TenantSa"
"MapNetworkDrive_KARC","T","\\Timberline1\Timberline Office","\\Timberline\Timberline Office"
"MapNetworkDrive_KARC","U","\\KARCFS01\KARCUsers\%LogonUser%",""
"MapNetworkDrive_KARC","V","\\Timberscan\Timberscan","\\Timberscan\Timberscan"
"MapNetworkDrive_KARC","W","\\KARCFS01\Timberscan Docs","\\KARCFS01\Timberscan Docs"
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
"MapNetworkDrive_MPLS",,,
